year,Impact,Location
2000,2679198,Dhaka
2001,700000,Dhaka
2002,1500000,Dhaka
2003,550000,Dhaka
2004,36871700,Dhaka
2005,1150000,Dhaka
2006,211775,Dhaka
2007,13851440,Dhaka
2008,635640,Dhaka
2009,500000,Dhaka
2010,575000,Dhaka
2011,1570559,Dhaka
2012,5398475,Dhaka
2014,3200447,Dhaka
2015,1411901,Dhaka
2016,1900000,Dhaka
2017,8086025,Dhaka
2018,14000,Dhaka
2019,7600000,Dhaka
2020,5448271,Dhaka
2021,268744,Dhaka
2022,7200000,Dhaka
2023,1000006,Dhaka
2024,11188931,Dhaka
2025,15350,Dhaka
