year,Impact,Location
2004,2300000,Nairobi
2005,3500000,Nairobi
2008,3800000,Nairobi
2011,8050000,Nairobi
2014,1600000,Nairobi
2016,3400000,Nairobi
2019,2600000,Nairobi
2020,4500000,Nairobi
2025,2150000,Nairobi
