year,Impact,Location
2000,23154,Miami
2001,181053,Miami
2002,18899,Miami
2003,243647,Miami
2004,5079710,Miami
2005,830305,Miami
2006,5663,Miami
2007,8317,Miami
2008,2301147,Miami
2009,908,Miami
2010,10941,Miami
2011,389193,Miami
2012,90404,Miami
2013,177474,Miami
2014,1215,Miami
2015,4576,Miami
2016,85019468,Miami
2017,854401,Miami
2018,1505093,Miami
2019,1486,Miami
2020,28431,Miami
2021,15236,Miami
2022,3445,Miami
2023,17385,Miami
2024,3733,Miami
2025,21762,Miami
